gene	chromosome	tss
LINC00840	chr10	44354859
LINC00841	chr10	44407850
KAT6A	chr8	41909505
RASGRP1	chr15	38857015
TMEM72-AS1	chr10	45455137
TMEM72	chr10	45406785
CAST	chr5	95998729
DERPC	chr16	69166491
RSU1P2	chr10	45650044
ANKRD30BP3	chr10	45650110
MIR3156-1	chr10	45659462
SKAP1	chr17	46507576
PNMA6A	chrX	152338259
AHNAK2	chr14	105436844
BANF2	chr20	17680593
MRAP2	chr6	84743491
LOC102724323	chr10	45948569
ZFAND4	chr10	46168220
EHMT2	chr6_mcf_hap5	3244863
STARD4	chr5	110848295
PRUNE2	chr9	79521003
HDC	chr15	50557923
HTT	chr4	3076408
IFNL3	chr19	39735646
EGFR	chr7	55086710
AIM2	chr1	159046556
OR5AL1	chr11	56180073
LHX6	chr9	124990712
SYDE1	chr19	15218212
RASAL3	chr19	15575355
PCCB	chr3	135969167
GH1	chr17	61996199
PPIH	chr1	43124094
SMYD1	chr2	88367344
TRIM16	chr17	15586265
MRE11	chr11	94227040
ARSA	chr22	51066580
AMY1C	chr1	104292410
NDUFV3	chr21	44313419
AGAP4	chr10	46342921
UNC119	chr17	26879642
HP	chr16	72088491
EIF4A2	chr3	186501366
JARID2	chr6	15249086
CLDN8	chr21	31588415
SPRY1	chr4	124317950
CD200R1L	chr3	112564797
NKIRAS2	chr17	40172108
CACNA1C	chr12	2162416
PNISR	chr6	99873221
DUSP22	chr6	292057
CENPW	chr6	126660935
MAP3K7CL	chr21	30464575
FAS	chr10	90750555
COL6A4P1	chr3	15247466
BCYRN1	chr2	47562454
GAS5	chr1	173838020
CYP4F3	chr19	15751707
DYRK2	chr12	68042525
DNM2	chr19	10828729
AKT1S1	chr19	50381613
IFFO1	chr12	6665208
FKBP1A	chr20	1373698
OR2T3	chr1	248636652
ST3GAL3	chr1	44173207
KIR3DS1	chr19_gl000209_random	70071
CDK5RAP2	chr9	123342445
FRMPD2B	chr10	48862688
BMS1P1	chr10	48952629
SHLD2P1	chr10	46897641
LOC101927699	chr10	46951472
LOC102724593	chr10	46951472
OR2M4	chr1	248402231
WDR1	chr4	10118423
SLC35E1	chr19	16683226
TSHZ1	chr18	72922752
LINC00842	chr10	47151400
HNRNPA1P33	chr10	47133836
CLEC12B	chr12	10163226
SH3GL3	chr15	84115980
CNDP1	chr18	72201735
RAPSN	chr11	47470688
BMS1P2	chr10	48185839
CTSLP2	chr10	48155943
SHLD2P3	chr10	47396081
ANTXRLP1	chr10	47640844
FAM25BP	chr10	47740304
ZNF821	chr16	71918559
LOC107001062	chr10	48332197
LOC105378292	chr10	48324887
MCM3	chr6	52149540
TMEM189-UBE2V1	chr20	48770335
BABAM2	chr2	28113482
TMEM249	chr8	145578591
GPS1	chr17	80009774
SELPLG	chr12	109027670
CDK6-AS1	chr7	92465797
RHOT1	chr17	30469473
VTI1A	chr10	114206973
PLPP4	chr10	122216466
GPM6A	chr4	176923842
RPL11	chr1	24018296
DICER1	chr14	95599840
SLC5A9	chr1	48688388
PTTG3P	chr8	67680269
LINC02664	chr10	31476812
GLUD1P2	chr10	48952592
AGAP12P	chr10	49239658
FRMPD2	chr10	49482739
NFU1	chr2	69666699
SLC25A22	chr11	797995
COX11	chr17	53046015
ACSBG2	chr19	6135678
AP3D1	chr19	2151565
PRKAR1B	chr7	767313
BRSK2	chr11	1411164
CXCR6	chr3	45984956
KLF1	chr19	12998015
YPEL5	chr2	30369873
STX18	chr4	4543775
SH2B1	chr16	28875314
IRGM	chr5	150226083
ANTXR2	chr4	80994626
MIR196A2	chr12	54385522
MIR665	chr14	101341370
MIR183	chr7	129414854
MIR182	chr7	129410332
MIR744	chr17	11985216
MIR30D	chr8	135817188
MIR10A	chr17	46657309
MIR30C2	chr6	72086734
SEC61A2	chr10	12171640
CYP4A22	chr1	47603097
YIF1B	chr19	38806420
ARHGAP22-IT1	chr10	49719632
ARHGAP22	chr10	49813118
MIR4294	chr10	50193632
FAM170B-AS1	chr10	50329884
SPART	chr13	36920531
CAMTA1	chr1	6845384
C10orf71-AS1	chr10	50506938
HCLS1	chr3	121379750
TAB2	chr6	149638848
ZNF267	chr16	31885128
SLC33A1	chr3	155572195
SLC16A7	chr12	60083151
DDX21	chr10	70716196
SLC24A1	chr15	65903688
ZW10	chr11	113644414
RTN1	chr14	60337494
RPS3	chr11	75110535
NPY	chr7	24323809
ZKSCAN1	chr7	99613219
USP50	chr15	50838863
KEAP1	chr19	10613447
DLL3	chr19	39989587
SELENOS	chr15	101817690
CPT1A	chr11	68609399
BRD2	chr6_ssto_hap7	4370140
PUS3	chr11	125773101
STX4	chr16	31044416
LTBP4	chr19	41103141
PKIG	chr20	43160422
UPK1A	chr19	36157418
ADRM1	chr20	60877952
FKBP6	chr7	72742164
ZNF281	chr1	200379164
HSD17B8	chr6_cox_hap2	4616266
ABHD10	chr3	111697873
PSMD10	chrX	107334772
ACER1	chr19	6333623
ILDR2	chr1	166944777
IFNG-AS1	chr12	68383225
OR7A5	chr19	14945997
PCSK5	chr9	78505560
BCKDHB	chr6	80816388
LATS1	chr6	150039237
PARGP1	chr10	51371344
TIMM23B	chr10	51371379
ZDHHC13	chr11	19138715
UBE2W	chr8	74791097
MIR31HG	chr9	21559797
IL6ST	chr5	55290791
SNORA74C-1	chr10	51611226
SNORA74C-2	chr10	51611226
MAP1LC3A	chr20	33146522
PRR19	chr19	42806284
ANKUB1	chr3	149510341
ERICH6	chr3	150421707
MEX3A	chr1	156052256
FAM21EP	chr10	51827563
SEC14L6	chr22	30938641
MUC22	chr6_mcf_hap5	2355676
PSTPIP1	chr15	77287467
USF2	chr19	35759865
ITGB1BP1	chr2	9563657
PRPF18	chr10	13628965
OXSM	chr3	25831563
SGMS1-AS1	chr10	52384711
CLEC2D	chr12	9822309
PLEKHS1	chr10	115511441
OR51I1	chr11	5462783
OR2A1	chr7	144015218
SLCO5A1	chr8	70745590
LOC102724719	chr10	52828312
PRKG1-AS1	chr10	54073888
LOC105378305	chr10	54515164
MEPCE	chr7	100027454
USP17L13	chr4	9226622
USP17L11	chr4	9259850
USP17L10	chr4	9212383
SYNRG	chr17	35969466
SUV39H2	chr10	14920782
NPAS3	chr14	33408085
TSHZ2	chr20	51588897
DCAF4	chr14	73393172
RETN	chr19	7733935
DIDO1	chr20	61557903
WLS	chr1	68698229
AOPEP	chr9	97488981
ZNF692	chr1	249153284
SYTL1	chr1	27668513
RALGAPA1	chr14	36278501
PTPN11	chr12	112856751
PUS7L	chr12	44152593
ADK	chr10	75910979
GGTLC2	chr22	22988782
TMEM63B	chr6	44095291
CLIP2	chr7	73703737
TAOK2	chr16	29985189
DNTT	chr10	98064191
LOC105378311	chr10	56245990
MIR548F1	chr10	56367717
MIR3924	chr10	59064319
PKP3	chr11	392596
TP53TG3E	chr16	32687431
GABPB1	chr15	50647605
FAM133CP	chr10	60474775
MIR210	chr11	568198
SIGMAR1	chr9	34637823
FAM13C	chr10	61122307
MYO19	chr17	34891305
NFKB1	chr4	103422516
SLC16A9	chr10	61469649
LINC01553	chr10	61720671
ADORA3	chr1	112046255
BCL2L1	chr20	30311766
PYGO1	chr15	55881169
PLEKHM1	chr17	43568087
ITM2A	chrX	78622831
TM6SF1	chr15	83776397
TMEM242	chr6	157744551
KLRC4	chr12	10562356
IMPACT	chr18	22006634
ALLC	chr2	3705790
NKX3-2	chr4	13546132
BEST3	chr12	70093196
OLFM1	chr9	137967351
RPS6KA2	chr6	167040739
LINC00845	chr10	62776033
EZH1	chr17	40897058
CBFA2T2	chr20	32150171
PRDX3	chr10	120938324
TMEM26-AS1	chr10	63239799
FAM207A	chr21	46359912
GRAP2	chr22	40297088
CARD10	chr22	37915422
CDT1	chr16	88870197
TSPAN14	chr10	82219230
NIFK	chr2	122494451
LOC283045	chr10	64134886
CREB3L4	chr1	153940378
TAZ	chrX	153639875
CCL3	chr17	34417489
CCL2	chr17	32582304
SNAPC1	chr14	62229138
P2RX1	chr17	3819759
SCTR	chr2	120282028
TMEM71	chr8	133772828
PRLR	chr5	35118224
ZNF664	chr12	124457762
MGST2	chr4	140586973
LOC105378330	chr10	65190335
JMJD1C-AS1	chr10	65224989
LINC02671	chr10	66684276
LINC01515	chr10	67331183
HAP1	chr17	39890895
LOC101928961	chr10	68771911
MARK3	chr14	103851701
LRRTM3	chr10	68685794
RRM2B	chr8	103251189
HTR3E	chr3	183817967
MIR7151	chr10	69163168
GJD4	chr10	35894269
ZCCHC24	chr10	81205380
TRIM50	chr7	72742085
DNAJC22	chr12	49740671
POU5F1P5	chr10	69770640
MRVI1	chr11	10715121
SEMA3D	chr7	84751247
HEATR3	chr16	50099881
TNFSF10	chr3	172241220
PFDN6	chr6_cox_hap2	4701188
DPYD	chr1	98386590
TNPO3	chr7	128695227
PGAP2	chr11	3819128
TMEM200A	chr6	130687426
TRAF1	chr9	123676850
CNPY2	chr12	56709772
CCAR1	chr10	70480996
DROSHA	chr5	31532200
MRPS35	chr12	27863765
ELMOD3	chr2	85581892
C6orf141	chr6	49518381
ADCY8	chr8	132053155
RUFY2	chr10	70167034
GAGE12G	chrX	49335000
SLC2A10	chr20	45338288
ADAMTS16	chr5	5140443
PPP1CC	chr12	111180696
RNF14	chr5	141348670
DNAL1	chr14	74111689
SNORD98	chr10	70514929
RBAK	chr7	5085491
MAP3K9	chr14	71275888
CCDC74A	chr2	132285461
SLU7	chr5	159846088
LRRC75A	chr17	16395507
CDO1	chr5	115152356
MSLN	chr16	810734
TAGLN3	chr3	111717586
AKIRIN1	chr1	39456948
ZFP92	chrX	152683781
DAZAP2	chr12	51632610
C1orf185	chr1	51567900
SYT2	chr1	202679582
CISD3	chr17	36886594
FAM25C	chr10	49207825
HNRNPCL2	chr1	13184326
SERPINE2	chr2	224896195
SDK1	chr7	3340884
CDH13	chr16	82660574
RTN3	chr11	63448922
LOC101928994	chr10	70992246
PPP1R21	chr2	48667905
PSMB4	chr1	151372049
GFRA2	chr8	21646387
MTA2	chr11	62368722
EPN1	chr19	56187991
REC8	chr14	24641289
THOC1	chr18	268047
VSIG2	chr11	124622151
NR1H4	chr12	100897138
TXNL1	chr18	54305823
SNAP29	chr22	21213295
CAVIN2	chr2	192711814
LMNB1	chr5	126112828
STYXL1	chr7	75677318
CIAO3	chr16	790997
ZFP37	chr9	115819004
VSNL1	chr2	17721239
VRK1	chr14	97263719
VIP	chr6	153071932
WNT9A	chr1	228135633
YWHAH	chr22	32340521
WNT10B	chr12	49365518
TMEM138	chr11	61129846
ANKRD10	chr13	111567416
LILRA1	chr19	55105097
LIAS	chr4	39460676
TMED1	chr19	10946416
ZNF280D	chr15	57026284
NBR1	chr17	41322426
RAC3	chr17	79989554
ALOX5	chr10	45869664
PHETA2	chr22	42470252
PLEKHA1	chr10	124134224
C2CD3	chr11	73882047
LRRC20	chr10	72142381
LRCH2	chrX	114468635
KCNK10	chr14	88737255
CACNA1A	chr19	13617293
SETD5	chr3	9439299
PIDD1	chr11	805231
KHDC4	chr1	155904204
TACC3	chr4	1723248
TBATA	chr10	72545133
ZFP62	chr5	180288286
NEO1	chr15	73344804
EDEM3	chr1	184723992
AP2A2	chr11	925870
MAP7D2	chrX	20135025
LINC02622	chr10	72698810
RAB2A	chr8	61429546
RCHY1	chr4	76439640
IFNW1	chr9	21141900
IFNB1	chr9	21077941
IFNA21	chr9	21166659
IFNA16	chr9	21217310
BAIAP2-DT	chr17	79008519
POLR2E	chr19	1095374
CDC45	chr22	19467443
RIPOR2	chr6	25042516
PBX1	chr1	164528597
PARN	chr16	14724117
BRI3	chr7	97910998
RASGRP3	chr2	33701716
CDH23-AS1	chr10	73271677
MIR7152	chr10	73550504
DMXL1	chr5	118406782
RUSC1	chr1	155293728
ECE1	chr1	21616708
PDE4C	chr19	18337248
ZNF239	chr10	44070064
CLASP1	chr2	122407038
IGF2BP2	chr3	185542830
BAG5	chr14	104028657
BEAN1	chr16	66461198
KRAS	chr12	25403863
UBL4A	chrX	153714954
ZNF521	chr18	22932130
DPP7	chr9	140009185
ADGRL4	chr1	79472415
DMRTA1	chr9	22446823
LOC402096	chr2	106986201
RALGPS1	chr9	129677061
POLK	chr5	74807575
GZMB	chr14	25103396
THSD7A	chr7	11871824
MIR4676	chr10	74480787
CCDC170	chr6	151815152
BBOF1	chr14	74486052
AMZ1	chr7	2727836
TLCD1	chr17	27053251
BAP1	chr3	52444024
LINC02210-CRHR1	chr17_ctg5_hap1	1168888
NUDT13	chr10	74870213
SMYD5	chr2	73441373
SAMD7	chr3	169629360
SNORA11F	chr10	74885965
OR7E24	chr19	9361720
PLEKHA7	chr11	17035961
U2AF1L5	chr21	44527716
ZNF524	chr19	56111654
TMEM174	chr5	72469020
DNAJC9-AS1	chr10	75012499
SMG5	chr1	156252681
UNC45A	chr15	91473410
SLC11A1	chr2	219246996
ABCC8	chr11	17498392
DUXB	chr16	75735359
RAP1GDS1	chr4	99182535
DYTN	chr2	207583120
FIGNL1	chr7	50518048
NAA38	chr17	7761209
KRBA2	chr17	8274858
SMARCAD1	chr4	95174460
MAGED4	chrX	51927984
PPP3CB-AS1	chr10	75255510
SLAIN1	chr13	78315354
NETO1	chr18	70535222
ST6GAL1	chr3	186648315
RRAGB	chrX	55744182
TAPBP	chr6_qbl_hap6	4514101
PARP6	chr15	72564895
IQCH	chr15	67547124
CLCN3	chr4	170541729
BMS1P4	chr10	75490272
GLUD1P3	chr10	75490320
MUCL1	chr12	55248300
NSL1	chr1	212965119
C12orf45	chr12	105380094
HSPB6	chr19	36247930
SLC36A4	chr11	92930592
CLRN3	chr10	129691205
BSPH1	chr19	48495427
SPON2	chr4	1202750
RPEL1	chr10	105005644
LARP1	chr5	154092403
PSMA5	chr1	109969070
ZSWIM8-AS1	chr10	75561157
NEIL2	chr8	11627219
WIZ	chr19	15560767
SLC8A3	chr14	70655668
STING1	chr5	138862343
IPO8	chr12	30848803
SGIP1	chr1	66999836
MKI67	chr10	129924687
PIAS2	chr18	44497470
CAPN2	chr1	223900241
GRIA2	chr4	158141820
THEM4	chr1	151881987
GREM2	chr1	240775455
ZMAT3	chr3	178790301
MMP25	chr16	3096562
DERL2	chr17	5389498
PPM1K	chr4	89205713
SRSF2	chr17	74733413
CCT3	chr1	156308206
TWF1	chr12	44200120
POLM	chr7	44122129
PCBP3-AS1	chr21	47256333
LINC00311	chr16	85316564
MNX1-AS1	chr7	156803551
GFOD1	chr6	13487832
LINC00974	chr17	39710747
PRPF4B	chr6	4021534
CBSL	chr21	44496541
MAPKAPK5-AS1	chr12	112280809
BTG3-AS1	chr21	18984004
IP6K3	chr6	33714682
DRC7	chr16	57728718
SMC6	chr2	17935077
ZNF721	chr4	492945
ABLIM1	chr10	116286672
LOC102723439	chr10	76289082
PEAR1	chr1	156863510
PRORY	chrY	23548246
LOC101929165	chr10	76672544
SNORD172	chr10	76781491
SYBU	chr8	110615688
ATP5PD	chr17	73043064
MSRB3	chr12	65672463
MX1	chr21	42798166
USP17L7	chr8	11991518
ZNF503-AS1	chr10	77056141
ZNF503-AS2	chr10	77163923
LOC101929234	chr10	77168915
MIR606	chr10	77312216
LRMDA	chr10	77191382
LOC105378367	chr10	77472213
P2RX5	chr17	3599449
EPB41L1	chr20	34679336
PLIN1	chr15	90222598
EXOC7	chr17	74099868
DCN	chr12	91576594
NEK7	chr1	198126128
SLC7A7	chr14	23284644
FAM111B	chr11	58874710
MCL1	chr1	150552214
KCNMA1-AS1	chr10	78647802
KCNMA1-AS2	chr10	78900589
KCNMA1-AS3	chr10	79110630
FAM193B	chr5	176981096
DLG5-AS1	chr10	79686570
ADSS1	chr14	105196181
MITD1	chr2	99797521
TRPM2	chr21	45773484
CARTPT	chr5	71015102
LINC00856	chr10	80008382
LINC00595	chr10	80027099
MUCL3	chr6_qbl_hap6	2201723
HLX	chr1	221052785
SERAC1	chr6	158589294
FOLH1	chr11	49230154
LOC729815	chr10	81270738
HNRNPK	chr9	86595130
EIF4B	chr12	53400240
MECOM	chr3	168864093
LINC02679	chr10	81422941
BEND3P3	chr10	81442731
RAB4A	chr1	229406809
RABGGTB	chr1	76251941
BMS1P21	chr10	81664654
MBL1P	chr10	81679934
OR4F3	chr1	367659
TMEM254-AS1	chr10	81838949
TMEM254	chr10	81838421
ZWINT	chr10	58121034
SLC30A3	chr2	27498685
ZP2	chr16	21222895
USP3	chr15	63796710
GNPTG	chr16	1401932
PFKL	chr21	45719936
CRK	chr17	1359526
LINC00857	chr10	81967466
LOC100130698	chr10	82007514
IL32	chr16	3115404
BCL2L15	chr1	114430203
DYDC2	chr10	82116537
PRXL2A	chr10	82173589
EVA1A	chr2	75788455
L1CAM	chrX	153141469
ZBBX	chr3	167098085
LOC101929574	chr10	82295698
SH2D4B	chr10	82297658
LINC02655	chr10	82409553
ZNF652	chr17	47439612
NRG3-AS1	chr10	83992676
LINC02650	chr10	85436845
EBAG9	chr8	110551929
MIR448	chrX	114058017
ZCCHC13	chrX	73524015
AGAP2-AS1	chr12	58120023
CTAGE8	chr7	143966877
LINC01519	chr10	86958694
LINC02647	chr10	87192528
LOC101929662	chr10	87192619
STOX1	chr10	70587294
GRID1-AS1	chr10	87337488
GJB6	chr13	20806534
SCN1B	chr19	35522175
PYHIN1	chr1	158901342
HSD11B2	chr16	67465024
EMP1	chr12	13349660
ELF5	chr11	34533271
ELAVL1	chr19	8070525
EIF2S3	chrX	24073073
EIF2B1	chr12	124118233
LCE2B	chr1	152658599
ABCA7	chr19	1040106
PIGP	chr21	38445458
CYP3A4	chr7	99381807
CHIC1	chrX	72782984
PER3	chr1	7844247
MPND	chr19	4343524
NUTM2A-AS1	chr10	89102315
LINC00863	chr10	89102493
FAM245A	chr10	89167457
MIR4678	chr10	89263638
MTFR1	chr8	66556969
GAGE2B	chrX	49216648
LRIG3	chr12	59313327
FMR1	chrX	146993437
CFL1P1	chr10	89578070
DPP4	chr2	162930725
BFSP1	chr20	17539478
ANO2	chr12	6054425
RPL8	chr8	146017775
LRP8	chr1	53793742
SGK2	chr20	42193755
ECSIT	chr19	11639949
HNRNPF	chr10	43904656
MIR4301	chr11	113320810
AGPAT3	chr21	45285104
PEX11A	chr15	90233985
FPGT	chr1	74663896
PNKP	chr19	50370833
TRIM39	chr6_ssto_hap7	1624221
DHRS4L1	chr14	24476293
MIR4679-2	chr10	90823168
MIR4679-1	chr10	90823093
INPP4A	chr2	99062473
SYNJ1	chr21	34100324
KLHL32	chr6	97372496
PAGE5	chrX	55246779
FAM90A26	chr4	9174899
KY	chr3	134369860
SLC16A12-AS1	chr10	91215748
FLJ37201	chr10	91457685
TKTL1	chrX	153533522
CCHCR1	chr6_mann_hap4	2473944
FCHO2	chr5	72251868
PQBP1	chrX	48755195
MOBP	chr3	39509171
LINC00865	chr10	91589250
LINC01374	chr10	91647891
LINC01375	chr10	91717130
LINC02653	chr10	92300562
XLOC_008559	chr10	92707057
LOC105378430	chr10	92792923
LINC00502	chr10	92805565
NUDT9P1	chr10	92912837
MIR1224	chr3	183959193
MIR668	chr14	101521595
MIR671	chr7	150935507
LOC642361	chr10	81585658
INTS5	chr11	62420774
HECTD2-AS1	chr10	93371217
HECTD2	chr10	93170042
GTF2E1	chr3	120461591
DNAJC1	chr10	22292659
TNKS2-AS1	chr10	93558048
TOLLIP	chr11	1330862
MARK2P9	chr10	94178418
UPK2	chr11	118827008
TALDO1	chr11	747464
NAB1	chr2	191513809
ARHGEF40	chr14	21538463
ADNP	chr20	49526328
MRPL55	chr1	228297013
CACTIN	chr19	3626813
SMG7	chr1	183441634
MIR34C	chr11	111384164
MIR302A	chr4	113569407
DLAT	chr11	111896132
MIR29C	chr1	207975284
CXCR4	chr2	136875719
NMRK2	chr19	3933469
RAD17	chr5	68665645
RAD51AP1	chr12	4648056
CCKAR	chr4	26492106
SUPT5H	chr19	39936222
SEPSECS	chr4	25162071
SMIM3	chr5	150157508
TRMT12	chr8	125463061
GAL3ST3	chr11	65816632
TMEM60	chr7	77427751
IGSF21	chr1	18434292
TMEM241	chr18	21017933
HAUS2	chr15	42841011
SNW1	chr14	78227499
MAP2K5	chr15	67841432
ZNF302	chr19	35168544
TMPO-AS1	chr12	98910004
D2HGDH	chr2	242674045
DFFA	chr1	10532586
COCH	chr14	31343741
DIABLO	chr12	122711115
MCRS1	chr12	49961925
PPP2R5C	chr14	102276172
XYLT1	chr16	17564817
PLCE1-AS2	chr10	95868551
TMEM170B	chr6	11537982
PLCE1-AS1	chr10	96046827
SMN1	chr5	70220768
NEU4	chr2	242752491
RAB35	chr12	120554557
NEURL1B	chr5	172068266
ANO5	chr11	22214722
HNRNPLL	chr2	38830070
CASKIN2	chr17	73511618
RAB24	chr5	176730720
CSAD	chr12	53574709
MIDEAS	chr14	74227001
SIVA1	chr14	105219484
LAIR1	chr19	54876538
DMKN	chr19	36004551
ITPRID1	chr7	31569076
IL37	chr2	113670548
MDM2	chr12	69202804
PLSCR4	chr3	145968966
APPBP2	chr17	58603601
AGT	chr1	230849868
INPP5J	chr22	31518909
TSPAN17	chr5	176074485
BTBD9	chr6	38563843
SLTM	chr15	59225878
RAB27B	chr18	52385088
RRAD	chr16	66959439
RBP2	chr3	139195358
EFS	chr14	23834381
HBS1L	chr6	135375960
POLR2F	chr22	38349706
THOP1	chr19	2785501
GFM2	chr5	74062942
EEF1D	chr8	144679585
RAMP1	chr2	238768266
CADPS2	chr7	122526514
ENTPD1-AS1	chr10	97849992
TRMT10B	chr9	37753800
CC2D2B	chr10	97667722
RTF2	chr20	55043641
MIR503HG	chrX	133680660
CLCA4	chr1	87012761
CEP78	chr9	80850991
SUPT20H	chr13	37633825
MIR3157	chr10	97824156
ALG1L2	chr3	129800674
HIVEP2	chr6	143266313
ZNF518A	chr10	97889472
GLIPR1L2	chr12	75784869
LST1	chr6_qbl_hap6	2848617
AQP4	chr18	24442874
RPL34	chr4	109541714
KIF21B	chr1	200992842
OR11A1	chr6_cox_hap2	914287
PTPN9	chr15	75871656
RPL13AP5	chr10	98510023
MIR607	chr10	98588521
LOC102723665	chr10	98592215
TRAPPC13	chr5	64920854
IFT20	chr17	26662498
SLIT1-AS1	chr10	98862513
ARHGAP19-SLIT1	chr10	99052430
DNPEP	chr2	220252634
PMEL	chr12	56359846
C2orf72	chr2	231902238
BTBD18	chr11	57519253
WSB1	chr17	25621140
DHX35	chr20	37590987
SAMMSON	chr3	70048895
DUOX1	chr15	45422192
NCAPH2	chr22	50946645
CDK20	chr9	90589448
EXD2	chr14	69658194
HEATR9	chr17	34195895
PLEKHG2	chr19	39903309
HYKK	chr15	78799906
LOC100287896	chr11	74204430
TBX22	chrX	79270252
ODF3	chr11	196761
MARK1	chr1	220701525
ASTN1	chr1	177134040
SLC39A2	chr14	21467452
MGLL	chr3	127542093
GYPC	chr2	127413734
RABL2B	chr22	51222064
PIEZO1	chr16	88851628
NOP53	chr19	48248803
TBX20	chr7	35293711
LMBR1L	chr12	49504683
MORN4	chr10	99393257
CAAP1	chr9	26892826
PODNL1	chr19	14049230
VSIG10L	chr19	51845378
TATDN1	chr8	125551326
TUBGCP5	chr15	22833499
LINC00866	chr10	99609555
DYRK3	chr1	206808881
PTCD2	chr5	71616200
KIAA0319	chr6	24646419
PRR29	chr17	62075711
QDPR	chr4	17513857
TARDBP	chr1	11072679
CFAP61	chr20	20037290
CDH2	chr18	25616605
EXOC6	chr10	94608277
RARB	chr3	25469754
CZIB	chr1	53686311
ZNF330	chr4	142142049
SRF	chr6	43139007
ANKRD40CL	chr17	48844879
PPP1R42	chr8	67940789
RDH5	chr12	56114177
DACH1	chr13	72441330
ZIC4	chr3	147124596
PCBD2	chr5	134240821
SLC41A2	chr12	105352068
BAZ2A	chr12	57030143
FAM161A	chr2	62081195
MIR4685	chr10	100191117
TRAPPC3	chr1	36615087
PEG3	chr19	57352094
DMTF1	chr7	86781870
RIF1	chr2	152266416
MIR6507	chr10	100684325
F10	chr13	113777113
PCYT1A	chr3	196014597
CNNM1	chr10	101088856
PLEKHB1	chr11	73358699
LINC01475	chr10	101290934
KCNJ2	chr17	68165673
FGF14	chr13	103054124
MFSD2A	chr1	40420817
LMF1	chr16	1020984
FANCA	chr16	89883055
BPY2	chrY	27198251
DNMBP-AS1	chr10	101686962
PCDH17	chr13	58205878
U2AF1L4	chr19	36236319
TYROBP	chr19	36399197
MIR206	chr6	52009147
GAPLINC	chr18	3466248
ELDR	chr7	55323328
SMO	chr7	128828474
CDKN2B-AS1	chr9	21994790
MIR6783	chr17	43012049
MIR6751	chr11	64897450
MIR195	chr17	6921020
MIR194-1	chr1	220291583
SLC38A9	chr5	55008152
MIR8084	chr8	94041979
ASAP2	chr2	9346894
SLC1A2	chr11	35441105
RELA	chr11	65430387
CLSPN	chr1	36235579
SNORA12	chr10	101997059
ZNF292	chr6	87865283
ACP3	chr3	132036251
OLMALINC	chr10	102133333
MAN2A2	chr15	91445895
KIR2DL4	chr19_gl000209_random	57207
C7orf50	chr7	1068005
SMIM22	chr16	4838457
VTCN1	chr1	117753549
RTEL1	chr20	62289665
CCL24	chr7	75452690
ZNF746	chr7	149194900
PRR5L	chr11	36397535
LILRA5	chr19	54824436
ZNF266	chr19	9546249
KCNQ1	chr11	2466238
LOC644215	chr10	99185814
CARMIL2	chr16	67679047
PRKAB2	chr1	146644049
CASC9	chr8	76191124
TLX1NB	chr10	102901023
LINC01514	chr10	102936079
LBX1-AS1	chr10	102989351
LINC02681	chr10	103023307
IFIT3	chr10	91087754
IFRD1	chr7	112090563
PTPN18	chr2	131113629
SGO2	chr2	201390865
KIAA0100	chr17	26972177
LRRC6	chr8	133687791
MIR3158-1	chr10	103361174
MIR3158-2	chr10	103361254
NEMF	chr14	50319506
TMEM63C	chr14	77648141
CXXC5	chr5	139055028
ZBTB43	chr9	129567285
KCNIP2-AS1	chr10	103578825
ARHGAP21	chr10	25012150
SLC25A13	chr7	95951410
COL4A1	chr13	110959504
ZBTB9	chr6	33422353
BEND6	chr6	56819773
TRIM51	chr11	55650773
ENDOU	chr12	48119273
PLA2G2D	chr1	20446059
MSL2	chr3	135913310
CENPQ	chr6	49431083
OSTF1	chr9	77703430
EGF	chr4	110834039
NKRF	chrX	118740387
RPL14	chr3	40498830
BTAF1	chr10	93683527
PWP1	chr12	108079819
USP39	chr2	85843309
SNRPE	chr1	203830727
CXCL5	chr4	74864394
SNRPB2	chr20	16710671
SOAT1	chr1	179262849
NFIX	chr19	13106289
ARMC1	chr8	66546452
CCDC179	chr11	22882020
ITIH2	chr10	7745279
RPARP-AS1	chr10	104209574
CAMKV	chr3	49907339
UBA52	chr19	18682667
MTRF1L	chr6	153323844
SEMA3B	chr3	50304990
RFXANK	chr19	19303088
SNORD118	chr17	8076906
HNF4A-AS1	chr20	43024346
PYROXD1	chr12	21590849
BORCS7-ASMT	chr10	104613967
DDA1	chr19	17420372
LTF	chr3	46506395
PLCE1	chr10	95753688
IFI27	chr14	94577082
AMBRA1	chr11	46608994
TRIM40	chr6_mann_hap4	1452482
TMEM179	chr14	105071109
ZNF185	chrX	152082986
SCAMP5	chr15	75287904
TRIM49C	chr11	89764274
GGCX	chr2	85788616
ARMC9	chr2	232063345
TDGF1	chr3	46616025
CTR9	chr11	10772793
MAP3K4	chr6	161412759
HEMK1	chr3	50606953
TTLL6	chr17	46894591
PRSS55	chr8	10383042
GP6	chr19	55549632
FBXL5	chr4	15656980
CHMP3	chr2	86790566
SORT1	chr1	109940540
HAGH	chr16	1877195
BCAR1	chr16	75272558
SERF1B	chr5	69321078
ACBD4	chr17	43209986
LEO1	chr15	52263975
NAV2	chr11	19372271
IL2	chr4	123377650
CPEB1	chr15	83316356
RTL5	chrX	71351765
TAS1R2	chr1	19186155
IPMK	chr10	60027654
FAM9C	chrX	13062739
NEURL1-AS1	chr10	105277199
